PC(DEC) Instruction(HEX)   A Before(HEX)    A After(HEX)         EA(HEX) 
   0         f000014              00              00              74 
  97         1100015              00              00              75 
  98         a100013              00              00              73 
  99         1100018              00              00              78 
 100         1000014              00            1d09              74 
 101         210001d              00              00              7d 
 102         4010021            1d09            1d05              61 
 103         b00000f            1d05            1d05              6f 
 104         310001c              00              01              7c 
 105         1300020              00              08              60 
 106         430001d              08              08              7d 
 107         430001c              08              07              7c 
 108         a300004              07              07              64 
 100         1000014            1d05            1d09              74 
 101         210001d              01              01              7d 
 102         4010021            1d09            1d02              62 
 103         b00000f            1d02            1d02              6f 
 104         310001c              01              02              7c 
 105         1300020              07              08              60 
 106         430001d              08              07              7d 
 107         430001c              07              06              7c 
 108         a300004              06              06              64 
 100         1000014            1d02            1d09              74 
 101         210001d              02              02              7d 
 102         4010021            1d09              00              63 
 103         b00000f              00              00              6f 
 111         1210021              00            1d09              63 
 112         220001f            1d09            1d09              7f 
   0        1000001c              00              00              7c 
 114         c100000              02              12              60 
   0         f000014              00              00              74 
  97         1100015              12              00              75 
  98         a100013              00              00              73 
  99         1100018              00              00              78 
 100         1000014              00             500              74 
 101         210001d              00              00              7d 
 102         4010021             500             4fc              61 
 103         b00000f             4fc             4fc              6f 
 104         310001c              00              01              7c 
 105         1300020              06              08              60 
 106         430001d              08              08              7d 
 107         430001c              08              07              7c 
 108         a300004              07              07              64 
 100         1000014             4fc             500              74 
 101         210001d              01              01              7d 
 102         4010021             500             4f9              62 
 103         b00000f             4f9             4f9              6f 
 104         310001c              01              02              7c 
 105         1300020              07              08              60 
 106         430001d              08              07              7d 
 107         430001c              07              06              7c 
 108         a300004              06              06              64 
 100         1000014             4f9             500              74 
 101         210001d              02              02              7d 
 102         4010021             500        80001809              63 
 103         b00000f        80001809        80001809              6f 
 104         310001c              02              03              7c 
 105         1300020              06              08              60 
 106         430001d              08              06              7d 
 107         430001c              06              05              7c 
 108         a300004              05              05              64 
 100         1000014        80001809             500              74 
 101         210001d              03              03              7d 
 102         4010021             500             1cd              64 
 103         b00000f             1cd             1cd              6f 
 104         310001c              03              04              7c 
 105         1300020              05              08              60 
 106         430001d              08              05              7d 
 107         430001c              05              04              7c 
 108         a300004              04              04              64 
 100         1000014             1cd             500              74 
 101         210001d              04              04              7d 
 102         4010021             500        800029e1              65 
 103         b00000f        800029e1        800029e1              6f 
 104         310001c              04              05              7c 
 105         1300020              04              08              60 
 106         430001d              08              04              7d 
 107         430001c              04              03              7c 
 108         a300004              03              03              64 
 100         1000014        800029e1             500              74 
 101         210001d              05              05              7d 
 102         4010021             500        80000400              66 
 103         b00000f        80000400        80000400              6f 
 104         310001c              05              06              7c 
 105         1300020              03              08              60 
 106         430001d              08              03              7d 
 107         430001c              03              02              7c 
 108         a300004              02              02              64 
 100         1000014        80000400             500              74 
 101         210001d              06              06              7d 
 102         4010021             500             4ff              67 
 103         b00000f             4ff             4ff              6f 
 104         310001c              06              07              7c 
 105         1300020              02              08              60 
 106         430001d              08              02              7d 
 107         430001c              02              01              7c 
 108         a300004              01              01              64 
 100         1000014             4ff             500              74 
 101         210001d              07              07              7d 
 102         4010021             500        80004c11              68 
 103         b00000f        80004c11        80004c11              6f 
 104         310001c              07              08              7c 
 105         1300020              01              08              60 
 106         430001d              08              01              7d 
 107         430001c              01              00              7c 
 108         a300004              00              00              64 
   0        10000018        80004c11              00              78 
 110         c100000              08              0e              60 
   0         f000014        80004c11              00              74 
  97         1100015              0e              00              75 
  98         a100013              00              00              73 
  99         1100018              00              00              78 
 100         1000014        80004c11            2ee1              74 
 101         210001d              00              00              7d 
 102         4010021            2ee1            2edd              61 
 103         b00000f            2edd            2edd              6f 
 104         310001c              00              01              7c 
 105         1300020              00              08              60 
 106         430001d              08              08              7d 
 107         430001c              08              07              7c 
 108         a300004              07              07              64 
 100         1000014            2edd            2ee1              74 
 101         210001d              01              01              7d 
 102         4010021            2ee1            2eda              62 
 103         b00000f            2eda            2eda              6f 
 104         310001c              01              02              7c 
 105         1300020              07              08              60 
 106         430001d              08              07              7d 
 107         430001c              07              06              7c 
 108         a300004              06              06              64 
 100         1000014            2eda            2ee1              74 
 101         210001d              02              02              7d 
 102         4010021            2ee1            11d8              63 
 103         b00000f            11d8            11d8              6f 
 104         310001c              02              03              7c 
 105         1300020              06              08              60 
 106         430001d              08              06              7d 
 107         430001c              06              05              7c 
 108         a300004              05              05              64 
 100         1000014            11d8            2ee1              74 
 101         210001d              03              03              7d 
 102         4010021            2ee1            2bae              64 
 103         b00000f            2bae            2bae              6f 
 104         310001c              03              04              7c 
 105         1300020              05              08              60 
 106         430001d              08              05              7d 
 107         430001c              05              04              7c 
 108         a300004              04              04              64 
 100         1000014            2bae            2ee1              74 
 101         210001d              04              04              7d 
 102         4010021            2ee1              00              65 
 103         b00000f              00              00              6f 
 111         1210021            1d09            2ee1              65 
 112         220001f            2ee1            2ee1              7f 
   0        1000001c              00              00              7c 
 114         c100000              04              12              60 
   0         f000014              00              00              74 
  97         1100015              12              01              75 
  98         a100013              01              01              73 
   0              00              00              00              60 
